一|one
二|two
三|three
四|four
五|five
六|six
七|seven
八|eight
九|nine
十|ten
百|hundred
千|thousand
上|above, up
下|below, down, descend, give, low, inferior
左|left
右|right
中|in, inside, middle, mean, center
大|large, big
小|little, small
月|month, moon
日|day, sun, Japan
年|year
早|early, fast
木|tree, wood
林|grove, forest
山|mountain
川|stream, river
土|soil, earth, ground, Turkey
空|empty, sky, void, vacant, vacuum
田|rice field, rice paddy
天|heavens, sky, imperial
生|life, genuine, birth
花|flower
草|grass, weeds, herbs, pasture, write, draft
虫|insect, bug, temper
犬|dog
人|person
名|name, noted, distinguished, reputation
女|woman, female
男|male
子|child
目|eye, class, look, insight, experience, care, favor
耳|ear
口|mouth
手|hand
足|leg, foot, be sufficient
見|see, hopes, chances, idea, opinion, look at, visible
音|sound, noise
力|power, strong, strain, bear up, exert
気|spirit, mind
円|circle, yen, round
入|enter, insert
出|exit, leave
立|stand up
休|rest, day off, retire, sleep
先|before, ahead, previous, future, precedence
夕|evening
本|book, present, main, true, real, no. of long things
文|sentence, literature, style, art, decoration, figures, plan
字|character, letter, word, section of village
学|study, learning, science
校|exam, school, printing, proof, correction
村|town, village
町|village, town, block, street
森|forest, woods
正|correct, justice, righteous, 10**40
水|water
火|fire
玉|jewel, ball
王|king, rule, magnate
石|stone
竹|bamboo
糸|thread
貝|shellfish
車|car
金|gold
雨|rain
赤|red
青|blue, green
白|white
数|number, strength, fate, law, figures
多|many, frequent, much
少|few, little
万|ten thousand
半|half, middle, odd number, semi-, part-
形|shape, form, style
太|plump, fat, thick, big around
細|dainty, get thin, taper, slender, narrow
広|wide, broad, spacious
長|long, leader
点|spot, point, mark, speck, decimal point
丸|round, full, month, perfection, -ship, pills, make round, roll up, curl up, seduce, explain away
交|mingle, mixing, association, coming & going
光|ray, light
角|angle, corner, square
計|plot, plan, scheme, measure
直|straightaway, honesty, frankness, fix, repair
線|line, track
矢|dart, arrow
弱|weak, frail
強|strong
高|tall, high, expensive
同|same, agree, equal
親|parent, intimacy, relative, familiarity, dealer (cards)
母|mama, mother
父|father
姉|elder sister
兄|elder brother, big brother
弟|younger brother, faitherful service to elders
妹|younger sister
自|oneself
友|friend
体|body, substance, object, reality, counter for images
毛|fur, hair, feather, down
頭|head, counter for large animals
顔|face, expression
首|neck
心|heart, mind, spirit
時|time, hour
曜|weekday
朝|morning, dynasty, regime, epoch, period, (North) Korea
昼|daytime, noon
夜|night, evening
分|part, minute of time, segment, share, degree, one's lot, duty, understand, know, rate, 1%, chances, shaku/10
週|week
春|springtime, spring (season)
夏|summer
秋|autumn
冬|winter
今|now
新|new
古|old
間|interval, space
方|direction, person, alternative
北|north
南|south
東|east
西|west, Spain
遠|distant, far
近|near, early, akin, tantamount
前|in front, before
後|behind, back, later
内|inside, within, between, among, house, home
外|outside
場|location, place
地|ground, earth
国|country
園|park, garden, yard, farm
谷|valley
野|plains, field, rustic, civilian life
原|meadow, original, primitive, field, plain, prairie, tundra, wilderness
里|ri, village, parent's home, league
市|market, city, town
京|capital, 10**16
風|wind, air, style, manner
雪|snow
雲|cloud
池|pond, cistern, pool, reservoir
海|sea, ocean
岩|boulder, rock, cliff
星|star, spot, dot, mark
室|room, apartment, chamber, greenhouse, cellar
戸|door
家|house, home
寺|Buddhist temple
通|traffic, pass through, avenue, commute, counter for letters
門|gates
道|road-way, street, district, journey, course, moral, teachings
話|tale, talk
言|say
答|solution, answer
声|voice
聞|hear, ask, listen
語|word, speech, language
読|read
書|write
記|scribe, account, narrative
紙|paper
画|brush-stroke, picture
絵|picture, drawing, painting, sketch
図|map, drawing, plan, unexpected, accidentally
工|craft, construction
教|teach, faith, doctrine
晴|clear up
思|think
考|consider, think over
知|know, wisdom
才|genius, years old
理|logic, arrangement, reason, justice, truth
算|calculate, divining, number, abacus, probability
作|make, production, prepare, build
元|beginning, former time, origin
食|eat, food
肉|meat
馬|horse
牛|cow
魚|fish
鳥|bird, chicken
羽|feathers, counter for birds, rabbits
鳴|chirp, cry, bark, sound, ring, echo, honk
麦|barley, wheat
米|rice, USA
茶|tea
色|color
黄|yellow
黒|black
来|come, due, next, cause, become
行|going, journey
帰|homecoming, arrive at, lead to, result in
歩|walk
走|run
止|stop, halt
活|lively, resuscitation, being helped, living
店|store, shop
買|buy
売|sell
午|noon
汽|vapor, steam
弓|bow, bow (archery, violin)
回|-times, round, game, revolve, counter for occurrences
会|meeting, meet, party, association, interview, join
組|association, braid, plait, construct, assemble, unite, cooperate, grapple
船|ship, boat
明|bright, light
社|company, firm, office, association, shrine
切|cut, cutoff, be sharp
電|electricity
毎|every
合|fit, suit, join, 0.1
当|hit, right, appropriate, himself
台|pedestal, a stand, counter for machines and vehicles
楽|music, comfort, ease
公|public, prince, official, governmental
引|pull, tug, jerk, admit, install, quote, refer to
科|department, course, section
歌|song, sing
刀|sword, saber, knife
番|turn, number in a series
用|utilize, business, service, use, employ
何|what
丁|street, ward, town, counter for guns, tools, leaves or cakes of something, even number, 4th calendar sign
世|generation, world, society, public
両|both, old Japanese coin, no. of vehicles, two
主|lord, chief, master, main thing, principal
乗|ride, power, multiplication, record, no. of vehicles, board, mount, join
予|beforehand, previous, myself, I
事|matter, thing, fact, business, reason, possibly
仕|attend, doing, official, serve
他|other, another, the others
代|substitute, change, convert, replace, period, age, generation, charge, rate, fee
住|dwell, reside, live, inhabit
使|use
係|person in charge, connection, duty, concern oneself
倍|double, twice, times, fold
全|whole, entire, all, complete, fulfill
具|tool, utensil, means, possess, ingredients, counter for armor, suits, sets of furniture
写|copy, be photographed, describe
列|file, row, rank, tier, column
助|help, rescue, assist
勉|exertion
動|move, motion, change, confusion, shift, shake
勝|victory, win, prevail, excel
化|change, take the form of, influence, enchant, delude, -ization
区|ward, district
医|doctor, medicine
去|gone, past, quit, leave, elapse, eliminate, divorce
反|anti-
取|take, fetch, take up
受|accept, undergo, answer (phone), take, get, catch, receive
号|nickname, number, item, title, pseudonym, name, call
向|yonder, facing, beyond, confront, defy, tend toward, approach
君|old boy, name-suffix
味|flavor, taste
命|fate, command, decree, destiny, life, appoint
和|harmony, Japanese style, peace, soften, Japan
品|goods, refinement, dignity, article, counter for meal courses
員|employee, member, number, the one in charge
商|make a deal, selling, dealing in, merchant
問|question, ask, problem
坂|slope, incline, hill
央|center, middle
始|commence, begin
委|committee, entrust to, leave to, devote, discard
守|guard, protect, defend, obey
安|relax, cheap, low, quiet, rested, contented, peaceful
定|determine, fix, establish, decide
実|reality, truth
客|guest, visitor, customer, client
宮|Shinto shrine, constellations, palace, princess
宿|inn, lodging, relay station, dwell, lodge, be pregnant, home, dwelling
寒|cold
対|vis-a-vis, opposite, even, equal, versus, anti-, compare
局|bureau, board, office, affair, conclusion, court lady, lady-in-waiting, her apartment
屋|roof, house, shop, dealer, seller
岸|beach
島|island
州|state, province
帳|notebook, account book, album
平|even, flat, peace
幸|happiness, blessing, fortune
度|degrees, occurrence, time, counter for occurrences
庫|warehouse, storehouse
庭|courtyard, garden, yard
式|style, ceremony, rite, fn, method, system, form, expr
役|duty, war, campaign, drafted labor, office, service, role
待|wait, depend on
急|hurry, emergency, sudden, steep
息|breath, respiration, son, interest (on money)
悪|bad, vice, rascal, false, evil, wrong
悲|jail cell, grieve, sad, deplore, regret
想|concept, think, idea, thought
意|idea, mind, heart, taste, thought, desire, care, liking
感|emotion, feeling, sensation
所|place
打|strike, hit, knock, pound, dozen
投|throw, discard, abandon, launch into, join, invest in, hurl, give up, sell at a loss
拾|pick up, gather, find, go on foot
持|hold, have
指|finger, point to, indicate, put into, play (chess), measure (ruler)
放|set free, release, fire, shoot, emit, banish, liberate
整|organize, arranging, tune, tone, meter, key (music)
旅|trip, travel
族|tribe, family
昔|once upon a time, antiquity, old times
昭|shining, bright
暑|sultry, hot, summer heat
暗|darkness, disappear, shade, informal, grow dark, be blinded
曲|bend, music, melody, composition, pleasure, injustice, fault, curve, crooked, perverse, lean
有|possess, have, exist, happen, occur, approx
服|clothing, admit, obey, discharge
期|period, time, date, term
板|plank, board, plate, stage
柱|pillar, post, cylinder, support
根|root, radical, head (pimple)
植|plant
業|business, vocation, arts, performance
様|Esq., way, manner, situation, polite suffix
横|sideways, side, horizontal, width, woof
橋|bridge
次|next, order, sequence
歯|tooth, cog
死|death, die
氷|icicle, ice, hail, freeze, congeal
決|decide, fix, agree upon, appoint
油|oil, fat
波|waves, billows, Poland
注|pour, irrigate, shed (tears), flow into, concentrate on, notes, comment, annotate
泳|swim
洋|ocean, western style
流|current, a sink, flow, forfeit
消|extinguish, blow out, turn off, neutralize, cancel
深|deep, heighten, intensify, strengthen
温|warm
港|harbor
湖|lake
湯|hot water, bath, hot spring
漢|Sino-, China
炭|charcoal, coal
物|thing, object, matter
球|ball, sphere
由|wherefore, a reason
申|speak, have the honor to, monkey (zodiac sign)
界|world
畑|farm, field, garden, one's specialty, (kokuji)
病|ill, sick
発|discharge, departure, publish, emit, start from, disclose
登|ascend, climb up
皮|pelt, skin, hide, leather
皿|dish, a helping, plate
相|inter-, mutual, together, each other, minister of state, councillor, aspect, phase, physiognomy
県|prefecture
真|true, reality, Buddhist sect
着|don, arrive, wear, counter for suits of clothing
短|short, brevity, fault, defect, weak point
研|polish, study of, sharpen
礼|salute, bow, ceremony, thanks, remuneration
神|gods, mind, soul
祭|ritual, offer prayers, celebrate, deify, enshrine, worship
福|blessing, fortune, luck, wealth
秒|second (1/60 minute)
究|research, study
章|badge, chapter, composition, poem, design
童|juvenile, child
笛|flute, clarinet, pipe, whistle, bagpipe, piccolo
第|No., residence
筆|writing brush, writing, painting brush, handwriting
等|etc., and so forth, class (1st), quality, equal, similar
箱|box, chest, case, bin, railway car
級|class, rank, grade
終|end, finish
緑|green
練|practice, gloss, train, drill, polish, refine
羊|sheep
美|beauty, beautiful
習|learn
者|someone, person
育|bring up, grow up, raise, rear
苦|suffering, trial, worry, hardship, feel bitter, scowl
荷|baggage, shoulder-pole load, bear (a burden), shoulder (a gun), load, cargo, freight
落|fall, drop, come down
葉|leaf, plane, lobe, needle, blade, spear, no. of flat things
薬|medicine, chemical, enamel, gunpowder, benefit
血|blood
表|surface, table, chart, diagram
詩|poem, poetry
調|tune, tone, meter, key (music), writing style, prepare, exorcise, investigate
談|discuss, talk
豆|beans, pea, midget
負|defeat, negative, -, minus, bear, owe, assume a responsibility
起|rouse, wake up, get up
路|path, route, road, distance
身|body, somebody, person, one's station in life
転|revolve, turn around, change
軽|lightly, trifling, unimportant
農|agriculture, farmers
返|return, answer, fade, repay
追|chase, drive away, follow, pursue, meanwhile
送|escort, send
速|quick, fast
進|advance, proceed, progress, promote
遊|play
運|carry, luck, destiny, fate, lot, transport, progress, advance
部|section, bureau, dept, class, copy, part, portion, counter for copies of a newspaper or magazine
都|metropolis, capital
配|distribute, spouse, exile, rationing
酒|sake, alcohol
重|heavy, heap up, pile up, nest of boxes, -fold
鉄|iron
銀|silver
開|open, unfold, unseal
院|Inst., institution, temple, mansion, school
陽|sunshine, yang principle, positive, male, heaven, daytime
階|storey, stair, counter for storeys of a building
集|gather, meet, congregate, swarm, flock
面|mask, face, features, surface
題|topic, subject
飲|drink, smoke, take
館|building, mansion, large building, palace
駅|station
鼻|nose, snout
不|negative, non-, bad, ugly, clumsy
争|contend, dispute, argue
付|adhere, attach, refer to, append
令|orders, ancient laws, command, decree
以|by means of, because, in view of, compared with
仲|go-between, relationship
伝|transmit, go along, walk along, follow, report, communicate, legend, tradition
位|rank, grade, throne, crown, about, some
低|lower, short, humble
例|example, custom, usage, precedent
便|convenience
信|faith, truth, fidelity, trust
倉|godown, warehouse, storehouse, cellar, treasury
候|climate, season, weather
借|borrow, rent
停|halt, stopping
健|healthy, health, strength, persistence
側|side, lean, oppose, regret
働|work
億|hundred million, 10**8
兆|portent, 10**12, trillion, sign, omen, symptoms
児|newborn babe, child, young of animals
共|together, both, neither, all, and, alike, with
兵|soldier, private, troops, army, warfare, strategy, tactics
